date,price_65_m1,raw_price_65_m1,contract_month_65_m1,price_62_m1,raw_price_62_m1,contract_month_62_m1
2023-01-12,113.30662687306332,136.24,2023-02,90.12942762332278,122.05,2023-02
2023-01-13,116.06776898418025,139.56,2023-02,91.90173918658354,124.45,2023-02
2023-01-16,110.6369683861099,133.03,2023-02,88.43096237519791,119.75,2023-02
2023-01-17,111.69318841054319,134.3,2023-02,89.13250236898863,120.7,2023-02
2023-01-18,112.73277504876492,135.55,2023-02,90.27712025359452,122.25,2023-02
2023-01-19,114.50423068029475,137.68,2023-02,91.31096866549663,123.65,2023-02
2023-01-20,116.8162713636999,140.46,2023-02,93.26789601659704,126.3,2023-02
2023-01-23,116.83290474991144,140.48,2023-02,93.5632812771405,126.7,2023-02
2023-01-24,116.4337034808343,140.0,2023-02,92.67712549551013,125.5,2023-02
2023-01-25,116.35885324288232,139.91,2023-02,92.93558759848564,125.85,2023-02
2023-01-26,116.9742885327096,140.65,2023-02,93.30481917416496,126.35,2023-02
2023-01-27,117.6396239811715,141.45,2023-02,93.71097390741222,126.9,2023-02
2023-01-30,119.6772137920861,143.9,2023-02,95.15097705256159,128.85,2023-02
2023-01-31,119.06177850225883,143.16,2023-02,94.44943705877087,127.9,2023-02
2023-02-01,118.09454225978652,141.63,2023-03,93.63265733577835,126.1,2023-03
2023-02-02,116.43523180933835,139.64,2023-03,91.85059248561286,123.7,2023-03
2023-02-03,117.1356442607838,140.48,2023-03,92.63024585756027,124.75,2023-03
2023-02-06,115.86823125340632,138.96,2023-03,91.36794992202638,123.05,2023-03
2023-02-07,113.95877349887047,136.67,2023-03,89.80864317813158,120.95,2023-03
2023-02-08,114.36734742888032,137.16,2023-03,90.25415939067295,121.55,2023-03
2023-02-09,116.07668734014604,139.21,2023-03,91.9248451877031,123.8,2023-03
2023-02-10,116.6270114091389,139.87,2023-03,92.4446141023347,124.5,2023-03
2023-02-13,112.99987549986777,135.52,2023-03,89.40025331663533,120.4,2023-03
2023-02-14,114.65918595031593,137.51,2023-03,90.922433709485,122.45,2023-03
2023-02-15,115.31790718441346,138.3,2023-03,91.66496073038729,123.45,2023-03
2023-02-16,116.34351113117287,139.53,2023-03,92.40748775128958,124.45,2023-03
2023-02-17,118.3363513204046,141.92,2023-03,93.33564652741744,125.7,2023-03
2023-02-20,119.94563231003525,143.85,2023-03,95.60035394116942,128.75,2023-03
2023-02-21,122.17194331641548,146.52,2023-03,96.52851271729728,130.0,2023-03
2023-02-22,121.31310423904783,145.49,2023-03,96.67701812147773,130.2,2023-03
2023-02-23,120.93788328291632,145.04,2023-03,96.26862825998148,129.65,2023-03
2023-02-24,117.98614509468187,141.5,2023-03,94.11529989936484,126.75,2023-03
2023-02-27,114.26728850724525,137.04,2023-03,91.25657086889105,122.9,2023-03
2023-02-28,115.35959840176139,138.35,2023-03,92.1847296450189,124.15,2023-03
2023-03-01,117.63058860711352,140.37,2023-04,94.16438550854646,126.05,2023-04
2023-03-02,117.76466920964353,140.53,2023-04,94.3511454956717,126.3,2023-04
2023-03-03,117.0104658204122,139.63,2023-04,93.75351353687093,125.5,2023-04
2023-03-06,116.34844284542025,138.84,2023-04,93.15588157807015,124.7,2023-04
2023-03-07,118.68647335203738,141.63,2023-04,94.91142545704741,127.05,2023-04
2023-03-08,118.87083418051614,141.85,2023-04,94.68731347249714,126.75,2023-04
2023-03-09,119.76749820993561,142.92,2023-04,95.24759343387285,127.5,2023-04
2023-03-10,120.9574635573895,144.34,2023-04,96.18139336949906,128.75,2023-04
2023-03-13,123.28711402634852,147.12,2023-04,97.93693724847631,131.1,2023-04
2023-03-14,123.97427711431483,147.94,2023-04,98.60927320212718,132.0,2023-04
2023-03-15,124.61954001399054,148.71,2023-04,97.26460129482545,130.2,2023-04
2023-03-16,122.15580894250152,145.77,2023-04,96.21874536692411,128.8,2023-04
2023-03-17,123.54689519375042,147.43,2023-04,97.33930528967556,130.3,2023-04
2023-03-20,119.13061534791805,142.16,2023-04,94.01497751884627,125.85,2023-04
2023-03-21,117.59706845648103,140.33,2023-04,92.14737764759386,123.35,2023-04
2023-03-22,114.82327599164134,137.02,2023-04,89.79420180981582,120.2,2023-04
2023-03-23,113.15564849767428,135.03,2023-04,88.18806592053875,118.05,2023-04
2023-03-24,114.37913399576067,136.49,2023-04,88.0760099282636,117.9,2023-04
2023-03-27,115.3009381381545,137.59,2023-04,89.86890580466591,120.3,2023-04
2023-03-28,116.8177249542753,139.4,2023-04,91.77385767334337,122.85,2023-04
2023-03-29,117.46298785395099,140.17,2023-04,92.93176959351987,124.4,2023-04
2023-03-30,119.49933700487558,142.6,2023-04,94.38849749309674,126.35,2023-04
2023-03-31,119.35687636468747,142.43,2023-04,94.72466546992217,126.8,2023-04
2023-04-03,115.6325036606146,137.23,2023-05,91.7739770087984,121.3,2023-05
2023-04-04,113.76189112598978,135.01,2023-05,89.84468070729439,118.75,2023-05
2023-04-05,113.113075066683,134.24,2023-05,89.12592326163603,117.8,2023-05
2023-04-06,112.43898045961097,133.44,2023-05,88.78545920842944,117.35,2023-05
2023-04-10,112.44740664219937,133.45,2023-05,89.20158194012639,117.9,2023-05
2023-04-11,114.419133367885,135.79,2023-05,90.48777947446239,119.6,2023-05
2023-04-12,112.96982996268018,134.07,2023-05,89.20158194012639,117.9,2023-05
2023-04-13,111.57108365300576,132.41,2023-05,87.99104308428073,116.3,2023-05
2023-04-14,111.68905020924338,132.55,2023-05,88.02887242352591,116.35,2023-05
2023-04-17,111.86600004359975,132.76,2023-05,88.74762986918427,117.3,2023-05
2023-04-18,112.7423230327934,133.8,2023-05,88.93677656541016,117.55,2023-05
2023-04-19,112.40527572925738,133.4,2023-05,88.48282449446803,116.95,2023-05
2023-04-20,110.68633448122377,131.36,2023-05,87.0831389423965,115.1,2023-05
2023-04-21,104.19817388815567,123.66,2023-05,81.78703144807177,108.1,2023-05
2023-04-24,100.53278446220163,119.31,2023-05,78.6850256299673,104.0,2023-05
2023-04-25,99.11718578735041,117.63,2023-05,77.13402272091506,101.95,2023-05
2023-04-26,101.38382890363003,120.32,2023-05,79.3281243971353,104.85,2023-05
2023-04-27,100.31370371490323,119.05,2023-05,78.79851364770283,104.15,2023-05
2023-04-28,101.07206014785923,119.95,2023-05,79.06331902241907,104.5,2023-05
2023-05-02,101.24399526761403,117.77,2023-06,79.4917409481563,102.05,2023-06
2023-05-03,100.40151318081551,116.79,2023-06,78.86858178344758,101.25,2023-06
2023-05-04,98.77672629913266,114.9,2023-06,76.99910428932141,98.85,2023-06
2023-05-05,97.62476099677549,113.56,2023-06,76.88226194593854,98.7,2023-06
2023-05-08,103.0407172690517,119.86,2023-06,81.8675352636083,105.1,2023-06
2023-05-09,100.06623969729365,116.4,2023-06,79.72542563492208,102.35,2023-06
2023-05-10,101.24399526761403,117.77,2023-06,80.50437459080797,103.35,2023-06
2023-05-11,97.08316536954788,112.93,2023-06,76.25910278122981,97.9,2023-06
2023-05-12,97.92564745634638,113.91,2023-06,77.46647366285296,99.45,2023-06
2023-05-15,102.57649244571373,119.32,2023-06,81.9454301591969,105.2,2023-06
2023-05-16,102.48192812984858,119.21,2023-06,81.67279802463683,104.85,2023-06
2023-05-17,104.98358412228094,122.12,2023-06,84.20438213126602,108.1,2023-06
2023-05-18,103.8144253079483,120.76,2023-06,82.91911635405428,106.45,2023-06
2023-05-19,102.44754110589764,119.17,2023-06,82.06227250257977,105.35,2023-06
2023-05-22,99.73956296975953,116.02,2023-06,79.53068839595059,102.1,2023-06
2023-05-23,97.41843885306973,113.32,2023-06,77.54436855844155,99.55,2023-06
2023-05-24,93.89376889809633,109.22,2023-06,74.07804570474929,95.1,2023-06
2023-05-25,93.97113970198599,109.31,2023-06,74.38962528710364,95.5,2023-06
2023-05-26,98.03740528418702,114.04,2023-06,78.7517394400647,101.1,2023-06
2023-05-29,99.43867651018863,115.67,2023-06,80.42647969521938,103.25,2023-06
2023-05-30,97.38405182911877,113.28,2023-06,78.94647667903617,101.35,2023-06
2023-05-31,97.66774477671419,113.61,2023-06,78.44015985771034,100.7,2023-06
2023-06-01,100.90848650931063,115.52,2023-07,81.88543756341161,102.2,2023-07
2023-06-02,102.52448979914985,117.37,2023-07,83.44783094157847,104.15,2023-07
2023-06-05,103.63385421974216,118.64,2023-07,83.84844462828792,104.65,2023-07
2023-06-06,104.57725073489152,119.72,2023-07,85.37077663778382,106.55,2023-07
2023-06-07,105.55558786171311,120.84,2023-07,86.13194264253178,107.5,2023-07
2023-06-08,107.91407914958654,123.54,2023-07,88.29525655076282,110.2,2023-07
2023-06-09,109.87075340322967,125.78,2023-07,90.21820224696816,112.6,2023-07
2023-06-12,106.13210795430439,121.5,2023-07,87.53409054601485,109.25,2023-07
2023-06-13,108.36830710132512,124.06,2023-07,89.37691350487832,111.55,2023-07
2023-06-14,109.1195302522774,124.92,2023-07,90.338386352981,112.75,2023-07
2023-06-15,109.92316432073797,125.84,2023-07,90.7790614083614,113.3,2023-07
2023-06-16,110.02798615575456,125.96,2023-07,91.33992056975463,114.0,2023-07
2023-06-19,110.30751104913216,126.28,2023-07,91.5802887817803,114.3,2023-07
2023-06-20,109.69605034486868,125.58,2023-07,90.45857045899385,112.9,2023-07
2023-06-21,107.65202456204503,123.24,2023-07,88.89617708082699,110.95,2023-07
2023-06-22,108.44692347758757,124.15,2023-07,89.17660666152359,111.3,2023-07
2023-06-23,106.28934070682928,121.68,2023-07,87.45396780867297,109.15,2023-07
2023-06-26,106.08843218971414,121.45,2023-07,87.21359959664728,108.85,2023-07
2023-06-27,109.04091387601494,124.83,2023-07,90.17814087829723,112.55,2023-07
2023-06-28,109.65237458027843,125.53,2023-07,90.69893867101952,113.2,2023-07
2023-06-29,109.45146606316328,125.3,2023-07,90.37844772165195,112.8,2023-07
2023-06-30,107.49479180952014,123.06,2023-07,88.89617708082699,110.95,2023-07
2023-07-03,106.96807171898756,121.85,2023-08,88.48858342158431,108.55,2023-08
2023-07-04,107.38066912323806,122.32,2023-08,88.7738989830542,108.9,2023-08
2023-07-05,108.33754395437222,123.41,2023-08,89.30377074006967,109.55,2023-08
2023-07-06,108.95205072666022,124.11,2023-08,89.67060503338807,110.0,2023-08
2023-07-07,106.748605014599,121.6,2023-08,87.59187737125043,107.45,2023-08
2023-07-10,103.12301505809987,117.47,2023-08,84.33112809730906,103.45,2023-08
2023-07-11,104.94897803861275,119.55,2023-08,86.40985575944669,106.0,2023-08
2023-07-12,107.8196025320152,122.82,2023-08,88.85541771490273,109.0,2023-08
2023-07-13,108.69746934956947,123.82,2023-08,89.91516122893367,110.3,2023-08
2023-07-14,112.64787002856367,128.32,2023-08,93.21666986879931,114.35,2023-08
2023-07-17,111.03259508426383,126.48,2023-08,91.7493326955257,112.55,2023-08
2023-07-18,112.08603526532896,127.68,2023-08,92.68679811178386,113.7,2023-08
2023-07-19,110.79557104352418,126.21,2023-08,91.91237015922277,112.75,2023-08
2023-07-20,112.60397668768597,128.27,2023-08,93.8688197235876,115.15,2023-08
2023-07-21,111.71733120195616,127.26,2023-08,92.27920445254118,113.2,2023-08
2023-07-24,110.97114440703503,126.41,2023-08,92.03464825699558,112.9,2023-08
2023-07-25,112.74443537849466,128.43,2023-08,93.46122606434493,114.65,2023-08
2023-07-26,112.96390208288322,128.68,2023-08,93.33894796657212,114.5,2023-08
2023-07-27,109.90014688961882,125.19,2023-08,90.44503298594915,110.95,2023-08
2023-07-28,107.41578379594024,122.36,2023-08,88.36630532381152,108.4,2023-08
2023-07-31,107.9600612228239,122.98,2023-08,88.89617708082699,109.05,2023-08
2023-08-01,106.40290217609233,119.58,2023-09,86.86922841774624,105.0,2023-09
2023-08-02,104.3118600276242,117.23,2023-09,85.8350709365826,103.75,2023-09
2023-08-03,101.52676984689859,114.1,2023-09,83.84948857274838,101.35,2023-09
2023-08-04,102.22971593085171,114.89,2023-09,83.27036038329676,100.65,2023-09
2023-08-07,101.59795426046347,114.18,2023-09,83.84948857274838,101.35,2023-09
2023-08-08,100.78823155616304,113.27,2023-09,82.64986589459858,99.9,2023-09
2023-08-09,101.69583282911518,114.29,2023-09,83.84948857274838,101.35,2023-09
2023-08-10,100.80602765955427,113.29,2023-09,83.2289940840502,100.6,2023-09
2023-08-11,102.6212302054585,115.33,2023-09,84.80091345541895,102.5,2023-09
2023-08-14,100.49459585020794,112.94,2023-09,82.93942998932438,100.25,2023-09
2023-08-15,101.0373770036401,113.55,2023-09,83.60129077726911,101.05,2023-09
2023-08-16,100.87721207311914,113.37,2023-09,83.27036038329676,100.65,2023-09
2023-08-17,105.1927671454895,118.22,2023-09,87.07605991397897,105.25,2023-09
2023-08-18,106.19824698709331,119.35,2023-09,88.15158369438916,106.55,2023-09
2023-08-21,106.50078074474402,119.69,2023-09,88.89617708082699,107.45,2023-09
2023-08-22,109.41934170090377,122.97,2023-09,91.54362023260592,110.65,2023-09
2023-08-23,111.73283514176211,125.57,2023-09,93.6946677934263,113.25,2023-09
2023-08-24,110.49600595607247,124.18,2023-09,92.7846092100023,112.15,2023-09
2023-08-25,112.08875720958646,125.97,2023-09,94.19106338438485,113.85,2023-09
2023-08-28,110.66506893828904,124.37,2023-09,93.07417330472812,112.5,2023-09
2023-08-29,110.59388452472416,124.29,2023-09,93.48783629719357,113.0,2023-09
2023-08-30,112.17773772654255,126.07,2023-09,94.6874589753434,114.45,2023-09
2023-08-31,113.70820261818731,127.79,2023-09,96.17664574821906,116.25,2023-09
2023-09-01,113.49271013059757,126.4,2023-10,96.59865823504758,114.45,2023-10
2023-09-04,114.1032721787685,127.08,2023-10,96.72526198109612,114.6,2023-10
2023-09-05,113.65432949628988,126.58,2023-10,97.06287197055894,115.0,2023-10
2023-09-06,114.53425715394799,127.56,2023-10,98.11790318763025,116.25,2023-10
2023-09-07,112.8911269360762,125.73,2023-10,96.09224325085336,113.85,2023-10
2023-09-08,111.95732615652065,124.69,2023-10,95.58582826665914,113.25,2023-10
2023-09-11,115.49499449445226,128.63,2023-10,99.46834314548148,117.85,2023-10
2023-09-12,116.5904146397001,129.85,2023-10,100.48117311386993,119.05,2023-10
2023-09-13,117.03935732217873,130.35,2023-10,100.81878310333275,119.45,2023-10
2023-09-14,117.67685593129839,131.06,2023-10,102.38022930459826,121.3,2023-10
2023-09-15,119.23917646632404,132.8,2023-10,103.68846801376667,122.85,2023-10
2023-09-18,118.1706928820249,131.61,2023-10,102.76004054274392,121.75,2023-10
2023-09-19,116.79692827364029,130.08,2023-10,101.62060682830693,120.4,2023-10
2023-09-20,118.28741797946934,131.74,2023-10,103.05544928352388,122.1,2023-10
2023-09-21,114.41753205650355,127.43,2023-10,99.08853190733583,117.4,2023-10
2023-09-22,117.87439071158899,131.28,2023-10,102.0848205638183,120.95,2023-10
